epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,4958.11,0.88994,0.40719,0.83234,0.99827,0.99608,0.99499,0.80626,0.7644,0.35841,0.83169,0.0003566,0.0003566,0.0003566
168,4989.62,0.93741,0.41574,0.83589,0.99834,0.99608,0.995,0.8078,0.75609,0.35526,0.83029,0.0003467,0.0003467,0.0003467
169,5024.46,0.88649,0.4017,0.83657,0.99809,0.99608,0.995,0.80824,0.76663,0.35931,0.83017,0.0003368,0.0003368,0.0003368
170,5057.53,0.91918,0.41849,0.84221,0.99804,0.99608,0.995,0.79696,0.78944,0.36351,0.83181,0.0003269,0.0003269,0.0003269
171,5087.88,0.88619,0.4003,0.84699,0.99809,0.99608,0.995,0.79677,0.77872,0.36084,0.83054,0.000317,0.000317,0.000317
172,5120.53,0.85721,0.39445,0.83571,0.9982,0.99739,0.995,0.80762,0.75651,0.35657,0.82819,0.0003071,0.0003071,0.0003071
173,5159.96,0.87501,0.40899,0.8463,0.99831,0.99739,0.995,0.81158,0.73421,0.34828,0.82683,0.0002972,0.0002972,0.0002972
174,5202.28,0.88934,0.4023,0.84411,0.99834,0.99739,0.995,0.81277,0.72998,0.34712,0.82683,0.0002873,0.0002873,0.0002873
175,5245.39,0.90343,0.40503,0.84821,0.99829,0.99608,0.995,0.81159,0.73464,0.34731,0.82763,0.0002774,0.0002774,0.0002774
176,5286.79,0.89645,0.4076,0.83317,0.99826,0.99608,0.995,0.81208,0.73839,0.349,0.82826,0.0002675,0.0002675,0.0002675
177,5326,0.88742,0.40437,0.82981,0.99869,0.99708,0.99499,0.81479,0.73844,0.34921,0.82746,0.0002576,0.0002576,0.0002576
178,5370.76,0.85522,0.39329,0.83753,0.99869,0.99704,0.99499,0.81694,0.73844,0.34687,0.82818,0.0002477,0.0002477,0.0002477
179,5411.52,0.91706,0.40861,0.83262,0.99869,0.99683,0.99499,0.81684,0.73833,0.3453,0.82779,0.0002378,0.0002378,0.0002378
